epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.37746,1.04906,2.39869,1.40236,0.00717,1,0.995,0.73329,0.96222,2.38421,1.1236,0.00043342,0.00043342,0.00043342
2,5.95751,1.0245,1.44139,1.29956,0.99626,0.98,0.99461,0.66045,1.14632,1.33115,1.27192,0.000874763,0.000874763,0.000874763
3,8.45708,1.04012,1.37161,1.27145,0.76136,0.7,0.79912,0.53762,1.17083,1.83468,1.17466,0.00130719,0.00130719,0.00130719
4,10.9436,1.05102,1.25138,1.29601,0.9389,0.98,0.98835,0.66881,1.09814,1.70946,1.15048,0.00161749,0.00161749,0.00161749
5,13.407,1.00768,1.06853,1.28254,0.66226,0.74,0.79178,0.57652,1.02592,1.97923,1.10232,0.00160099,0.00160099,0.00160099
6,15.9072,1.05522,1.04071,1.2986,0.95689,1,0.99383,0.66149,1.04238,1.0441,1.14273,0.00158448,0.00158448,0.00158448
7,18.382,1.03194,0.95395,1.29229,0.97316,1,0.99029,0.69426,1.04296,0.82177,1.12854,0.00156798,0.00156798,0.00156798
8,20.8699,0.97883,0.84797,1.24283,0.99413,1,0.995,0.72265,1.02096,0.65266,1.12752,0.00155148,0.00155148,0.00155148
9,23.3487,1.00971,0.85657,1.29605,0.92037,1,0.98884,0.68644,1.02932,0.72584,1.112,0.00153497,0.00153497,0.00153497
10,25.85,0.99048,0.77202,1.25986,0.8747,0.97737,0.97994,0.66139,1.13407,0.82337,1.15398,0.00151847,0.00151847,0.00151847
11,28.3699,0.99995,0.77361,1.25763,0.99792,1,0.995,0.6819,1.02072,0.52296,1.08553,0.00150197,0.00150197,0.00150197
12,30.87,0.97882,0.72092,1.25852,0.99828,1,0.995,0.71126,0.99633,0.45971,1.08879,0.00148546,0.00148546,0.00148546
13,33.3608,0.96059,0.68366,1.2411,0.99867,1,0.995,0.73494,0.94047,0.4538,1.04147,0.00146896,0.00146896,0.00146896
14,35.9093,0.99951,0.69225,1.25729,0.99665,1,0.995,0.711,0.93142,0.46083,1.03216,0.00145246,0.00145246,0.00145246
15,38.4236,0.9722,0.65574,1.26247,0.99844,1,0.995,0.71299,0.96003,0.402,1.04892,0.00143595,0.00143595,0.00143595
16,40.9305,0.95085,0.6452,1.22677,0.99878,1,0.995,0.71645,0.98568,0.43568,1.06587,0.00141945,0.00141945,0.00141945
17,43.4405,0.95923,0.6299,1.20791,0.99864,1,0.995,0.70824,0.97636,0.45446,1.06432,0.00140295,0.00140295,0.00140295
18,45.9669,0.97788,0.62379,1.23796,0.99697,1,0.995,0.70496,0.97296,0.44088,1.08027,0.00138644,0.00138644,0.00138644
19,48.4798,0.89648,0.57711,1.21292,0.998,1,0.995,0.71249,0.97079,0.45289,1.06852,0.00136994,0.00136994,0.00136994
20,50.9989,0.97339,0.60409,1.23383,0.99824,1,0.995,0.71981,0.97313,0.445,1.06065,0.00135344,0.00135344,0.00135344
21,53.51,0.94129,0.60143,1.21397,0.99578,1,0.995,0.69352,1.00872,0.44398,1.07595,0.00133693,0.00133693,0.00133693
22,56.0288,0.9197,0.57664,1.21995,0.99647,1,0.995,0.70329,0.99752,0.42438,1.07532,0.00132043,0.00132043,0.00132043
23,58.5606,0.89172,0.55125,1.19016,0.9916,1,0.995,0.73282,0.96831,0.48458,1.04283,0.00130393,0.00130393,0.00130393
24,61.0851,0.8784,0.55058,1.17649,0.97041,1,0.99422,0.69238,0.95378,0.57865,1.07335,0.00128742,0.00128742,0.00128742
25,63.6111,0.89715,0.55621,1.19057,0.99804,1,0.995,0.72326,0.97177,0.39981,1.05711,0.00127092,0.00127092,0.00127092
26,66.1455,0.86748,0.52675,1.18003,0.99848,1,0.995,0.72779,1.00829,0.40676,1.07024,0.00125442,0.00125442,0.00125442
27,68.683,0.89009,0.52436,1.19261,0.99866,1,0.995,0.73708,0.92573,0.36849,1.04511,0.00123791,0.00123791,0.00123791
28,71.2704,0.85918,0.5129,1.18524,0.99851,1,0.995,0.73969,0.93428,0.38474,1.0427,0.00122141,0.00122141,0.00122141
29,73.8647,0.84433,0.51541,1.16006,0.9987,1,0.995,0.7386,0.91271,0.38507,1.05923,0.00120491,0.00120491,0.00120491
30,76.454,0.85946,0.5064,1.18281,0.99858,1,0.995,0.73626,0.93935,0.37022,1.04887,0.0011884,0.0011884,0.0011884
31,79.0669,0.87428,0.52214,1.17719,0.99878,1,0.995,0.72524,0.95939,0.37655,1.06168,0.0011719,0.0011719,0.0011719
32,81.7083,0.85759,0.5013,1.15263,0.99855,1,0.995,0.73963,0.92298,0.37577,1.07347,0.0011554,0.0011554,0.0011554
33,84.3404,0.8725,0.50773,1.1694,0.99861,1,0.995,0.75235,0.90209,0.35853,1.04072,0.00113889,0.00113889,0.00113889
34,87.065,0.85123,0.48412,1.16649,0.98037,0.99901,0.99343,0.76487,0.92185,0.37853,1.0362,0.00112239,0.00112239,0.00112239
35,89.7947,0.87668,0.49983,1.17968,0.99878,1,0.995,0.75304,0.97521,0.3943,1.07205,0.00110589,0.00110589,0.00110589
36,92.4711,0.88188,0.49843,1.18108,0.99858,1,0.995,0.72079,0.97584,0.37922,1.11552,0.00108938,0.00108938,0.00108938
37,95.1604,0.87722,0.50227,1.18748,0.99878,1,0.995,0.74082,0.94217,0.37506,1.05674,0.00107288,0.00107288,0.00107288
38,97.8661,0.8561,0.49889,1.17485,0.99864,1,0.995,0.75477,0.91506,0.35129,1.0361,0.00105638,0.00105638,0.00105638
39,100.566,0.85242,0.48225,1.15015,0.99411,1,0.995,0.71128,0.95762,0.45328,1.05916,0.00103987,0.00103987,0.00103987
40,103.22,0.85585,0.484,1.16897,0.99801,1,0.995,0.73511,0.94345,0.35299,1.04707,0.00102337,0.00102337,0.00102337
41,105.901,0.87235,0.4908,1.17411,0.99872,1,0.995,0.73591,0.99256,0.36661,1.06217,0.00100687,0.00100687,0.00100687
42,108.626,0.84591,0.47003,1.15637,0.99555,1,0.995,0.75136,0.96976,0.36621,1.06471,0.000990365,0.000990365,0.000990365
43,111.333,0.81489,0.4661,1.14309,0.99861,1,0.995,0.73428,0.95299,0.36236,1.08743,0.000973861,0.000973861,0.000973861
44,114.038,0.87308,0.47267,1.17942,0.99873,1,0.995,0.74283,0.90945,0.34261,1.039,0.000957358,0.000957358,0.000957358
45,116.751,0.82974,0.46083,1.1458,0.99879,1,0.995,0.74257,0.94858,0.36745,1.05852,0.000940855,0.000940855,0.000940855
46,119.464,0.85258,0.46847,1.16928,0.99841,1,0.995,0.73436,0.94164,0.34435,1.06555,0.000924352,0.000924352,0.000924352
